disorder_a,disorder_b,intersection,union,jaccard
AD,ADHD,4,2279,0.0017551557700745941
AD,ASD,5,2649,0.001887504718761797
AD,BD,12,3776,0.0031779661016949155
AD,MDD,32,13201,0.002424058783425498
AD,OCD,6,2416,0.0024834437086092716
AD,SZ,8,2301,0.003476749239461104
ADHD,ASD,171,3786,0.045166402535657686
ADHD,BD,234,4857,0.04817788758492897
ADHD,MDD,891,13645,0.06529864419201173
ADHD,OCD,157,3568,0.04400224215246637
ADHD,SZ,150,3462,0.043327556325823226
ASD,BD,325,5137,0.06326649795600545
ASD,MDD,1043,13864,0.07523081361800346
ASD,OCD,318,3778,0.08417151932239281
ASD,SZ,239,3744,0.06383547008547008
BD,MDD,1577,14464,0.10902931415929204
BD,OCD,336,4894,0.0686554965263588
BD,SZ,653,4464,0.14628136200716846
MDD,OCD,918,13757,0.06672966489787018
MDD,SZ,928,13634,0.0680651312894235
OCD,SZ,306,3445,0.0888243831640058
